,company_name,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,country,belongs_to_collection,country_of_company,genre,year
2719,Paramount Pictures,0,en,68.23,2023-08-11,0,99,4.8,30,US,False,US,"Action,Adventure,War",2023
2720,La Dalia Films,0,es,31.887,2023-06-24,0,0,6.0,11,ES,False,ES,"Drama,Thriller",2023
2722,Récifilms,12460000,fr,69.682,2024-07-03,1359330,99,6.187,75,FR,False,FR,"Action,Thriller",2024
2723,Cheyenne Federation,0,fr,145.513,2024-11-22,0,109,6.1,60,FR,False,FR,"Action,Thriller",2024
2724,4 Cats Pictures,0,es,156.639,2024-08-14,7478666,83,6.8,20,ES,False,ES,"Animation,Adventure,Comedy,Family",2024
2725,Tango Entertainment,0,en,36.469,2024-09-05,0,104,7.032,189,US,False,US,"Drama,Comedy",2024
2726,Nostromo Pictures,400000,es,65.682,2023-10-20,0,60,6.5,33,ES,False,ES,"Horror,Action,Drama",2023
2727,DC Entertainment,0,en,53.062,2024-08-12,0,84,7.6,139,US,Watchmen Collection,US,"Animation,Drama,Science Fiction",2024
2728,DC Entertainment,70000000,en,79.316,2024-01-08,0,93,7.4,320,US,Justice League (Tomorrowverse) Collection,US,"Animation,Science Fiction,Action",2024
2729,Nuclear Tangerine,0,en,246.312,2024-06-14,0,120,5.328,32,US,False,US,"Horror,Mystery,Drama",2024
2730,上海摩天之眼文化传媒有限公司,120000000,zh,66.221,2025-01-29,0,145,0.0,0,CN,Creation of the Gods Trilogy,CN,"Action,Fantasy,War",2025
2731,Black Bear Pictures,2000000,en,44.477,2024-07-12,3401789,107,7.5,62,US,False,US,Drama,2024
2732,RaeFilm Studios,0,fa,44.213,2024-07-19,0,92,9.0,2,DE,False,US,"Documentary,War",2024
2733,Santa Rita Filmes,0,pt,33.685,2024-10-12,0,103,5.791,55,BR,False,BR,"Drama,Crime,Thriller",2024
2734,Pokeepsie Films,0,es,819.363,2024-12-26,0,118,7.171,942,ES,Fault Collection,ES,"Romance,Drama",2024
2735,Impact Partners,0,en,34.218,2024-08-09,60091,107,6.65,10,CA,False,US,Documentary,2024
2736,Unapologetic Projects,0,en,52.652,2024-07-26,5067608,94,7.2,105,US,False,US,"Comedy,Drama",2024
2737,BONES,0,ja,155.625,2024-08-02,32224616,110,6.7,79,JP,My Hero Academia Collection,JP,"Animation,Action,Adventure,Science Fiction",2024
2738,Woods Entertainment,0,en,45.171,2024-04-26,0,103,6.8,65,CA,False,CA,"Thriller,Mystery,Fantasy",2024
2739,Sherbone Media,0,en,41.947,2023-11-03,0,86,5.0,29,US,False,US,"Action,Science Fiction,Horror,Thriller",2023
2740,100 Bares,0,es,88.232,2023-08-03,0,85,6.0,1,AR,False,AR,"Romance,Drama",2023
2741,Sikhya Entertainment,4800000,hi,91.553,2024-07-03,5600000,105,7.2,330,IN,False,IN,"Action,Crime,Thriller,Drama",2024
